entry_time,exit_time,direction,units,entry_price,exit_price,sl,tp,pnl,exit_reason,bars_held
2020-08-28 13:00:00+00:00,2020-08-30 23:45:00+00:00,1,8.0,1955.284902780871,1975.862902780871,1944.9959027808711,1975.862902780871,164.0639999999998,TP,43
2020-08-31 08:15:00+00:00,2020-08-31 09:15:00+00:00,-1,15.0,1958.7697322676863,1964.7877322676864,1964.7877322676864,1946.7337322676865,-91.32000000000043,SL,4
2020-08-31 09:15:00+00:00,2020-08-31 11:30:00+00:00,-1,13.0,1961.8686097278974,1968.8406097278973,1968.8406097278973,1947.9246097278974,-91.54599999999974,SL,9
2020-08-31 12:00:00+00:00,2020-09-01 00:30:00+00:00,1,14.000000000000002,1965.843599705437,1969.0156706654154,1959.468599705437,1978.593599705437,43.4289934396966,TIME,50
2020-09-01 08:15:00+00:00,2020-09-01 13:30:00+00:00,1,15.0,1988.6470386062736,1982.7700386062734,1982.7700386062734,2000.4010386062737,-89.2050000000027,SL,21
2020-09-01 14:00:00+00:00,2020-09-01 14:30:00+00:00,-1,11.0,1981.8597145827107,1966.2397145827108,1989.6697145827106,1966.2397145827108,171.0499999999988,TP,2
2020-09-01 14:30:00+00:00,2020-09-02 03:00:00+00:00,-1,10.0,1971.6666716294533,1964.8680320207663,1980.3546716294532,1954.2906716294533,67.28639608686926,TIME,50
2020-09-02 09:30:00+00:00,2020-09-02 11:00:00+00:00,1,13.0,1970.5893980904248,1963.8103980904248,1963.8103980904248,1984.1473980904248,-89.03699999999995,SL,6
2020-09-02 11:00:00+00:00,2020-09-02 11:15:00+00:00,1,13.0,1965.3648562110152,1958.3948562110152,1958.3948562110152,1979.3048562110152,-91.52000000000035,SL,1
2020-09-02 11:15:00+00:00,2020-09-02 11:30:00+00:00,1,12.0,1965.9848504669674,1958.3558504669675,1958.3558504669675,1981.2428504669674,-92.38799999999887,SL,1
2020-09-02 12:15:00+00:00,2020-09-02 12:30:00+00:00,-1,10.0,1957.815938931892,1966.1419389318921,1966.1419389318921,1941.163938931892,-83.96000000000022,SL,1
2020-09-02 13:30:00+00:00,2020-09-02 16:15:00+00:00,-1,9.0,1956.1370155165516,1936.4850155165516,1965.9630155165516,1936.4850155165516,176.2380000000004,TP,11
2020-09-02 16:15:00+00:00,2020-09-02 21:00:00+00:00,-1,7.000000000000001,1939.5523086949927,1943.8082085007406,1951.4723086949928,1915.7123086949925,-30.28129864023571,SIGNAL_REVERSE,19
2020-09-02 21:00:00+00:00,2020-09-03 04:45:00+00:00,1,16.0,1943.810472828412,1938.1054728284118,1938.1054728284118,1955.220472828412,-92.40000000000248,SL,31
2020-09-03 08:15:00+00:00,2020-09-03 13:15:00+00:00,-1,12.0,1933.1993922262543,1940.5083922262543,1940.5083922262543,1918.5813922262541,-88.54799999999963,SL,20
2020-09-03 13:45:00+00:00,2020-09-03 15:15:00+00:00,1,11.0,1939.7200550281937,1931.9610550281936,1931.9610550281936,1955.2380550281937,-86.11900000000016,SL,6
2020-09-03 15:15:00+00:00,2020-09-03 15:30:00+00:00,1,8.0,1935.0813667027992,1924.3963667027992,1924.3963667027992,1956.4513667027993,-86.03999999999957,SL,1
2020-09-03 17:15:00+00:00,2020-09-04 02:00:00+00:00,-1,7.000000000000001,1930.0509167697735,1941.2819167697735,1941.2819167697735,1907.5889167697735,-79.10699999999997,SL,35
2020-09-04 10:15:00+00:00,2020-09-04 12:30:00+00:00,1,15.0,1938.9424917415733,1933.3364917415734,1933.3364917415734,1950.1544917415733,-85.13999999999992,SL,9
2020-09-04 13:00:00+00:00,2020-09-04 18:30:00+00:00,-1,10.0,1927.2516645007352,1935.4496645007353,1935.4496645007353,1910.8556645007352,-82.68000000000093,SL,22
2020-09-04 19:00:00+00:00,2020-09-07 07:30:00+00:00,1,9.0,1935.9183067699696,1929.6337277403811,1926.5383067699695,1954.6783067699696,-57.19121126629637,TIME,50
2020-09-07 08:15:00+00:00,2020-09-08 00:45:00+00:00,-1,18.0,1932.8231128778996,1926.6535052087895,1937.4461128778996,1923.5771128778995,109.79293804398115,TIME,50
